GameID,Genre
Dead or Alive 2 | DC,Action
Death Crimson OX | DC,Action
Deep Fighter | DC,Action
Demolition Racer: No Exit | DC,Action
Dino Crisis | DC,Action
Disney?Pixar Buzz Lightyear of Star Command | DC,Action
Disney?Pixar Toy Story 2: Buzz Lightyear to the Rescue! | DC,Action
Disney's 102 Dalmatians: Puppies to the Rescue | DC,Action
Disney's Dinosaur | DC,Action
Disney's Donald Duck: Goin' Quackers | DC,Action
Doki Doki Idol Star Seeker Remix | DC,Action
Draconus: Cult of the Wyrm | DC,Action
Dragon Riders: Chronicles of Pern | DC,Action
DUX | DC,Action
DUX: Version 1.5 | DC,Action
Dynamite Cop! | DC,Action
Ecco the Dolphin: Defender of the Future | DC,Action
EGG: Elemental Gimmick Gear | DC,Action
Evil Dead: Hail to the King | DC,Action
Evil Twin: Cyprien's Chronicles | DC,Action
Fast Striker | DC,Action
Fast Striker (Limited Edition) | DC,Action
Feet of Fury | DC,Action
Fighting Force 2 | DC,Action
Fighting Vipers 2 | DC,Action
Flashback: The Quest for Identity | DC,Action
Floigan Bros.: Episode 1 | DC,Action
Frogger 2: Swampy's Revenge | DC,Action
Fur Fighters | DC,Action
Garou: Mark of the Wolves | DC,Action
Gauntlet: Legends | DC,Action
Giana's Return | DC,Action
Giga Wing | DC,Action
Giga Wing 2 | DC,Action
Godzilla Generations | DC,Action
Godzilla Generations: Maximum Impact | DC,Action
Golden Logres | DC,Action
Grand Theft Auto 2 | DC,Action
The Grinch | DC,Action
Guilty Gear X | DC,Action
Gunbird 2 | DC,Action
Gundam Side Story 0079: Rise from the Ashes | DC,Action
Gunlord | DC,Action
Headhunter | DC,Action
Heavy Metal Geomatrix | DC,Action
Hidden & Dangerous | DC,Action
The House of the Dead 2 | DC,Action
Ikaruga | DC,Action
Illbleed | DC,Action
Incoming: The Final Conflict | DC,Action
Iron Aces | DC,Action
Jet Grind Radio | DC,Action
JoJo's Bizarre Adventure | DC,Action
Kao the Kangaroo | DC,Action
Karous | DC,Action
Killer Loop | DC,Action
The King of Fighters 2000 | DC,Action
The King of Fighters 2001 | DC,Action
The King of Fighters 2002: Challenge to Ultimate Battle | DC,Action
The King of Fighters: Dream Match 1999 | DC,Action
The King of Fighters: Evolution | DC,Action
KISS: Psycho Circus - The Nightmare Child | DC,Action
KISS: Psycho Circus - The Nightmare Child (Collector's Edition) | DC,Action
The Last Blade 2 | DC,Action
Last Hope | DC,Action
Last Hope Pink Bullets | DC,Action
Legacy of Kain: Soul Reaver | DC,Action
Maken X | DC,Action
Mars Matrix | DC,Action
Marvel vs. Capcom 2 | DC,Action
Marvel vs. Capcom: Clash of Super Heroes | DC,Action
Max Steel: Covert Missions | DC,Action
MDK 2 | DC,Action
Millennium Soldier: Expendable | DC,Action
Mobile Suit Gundam: Federation vs. Zeon | DC,Action
Mortal Kombat Gold | DC,Action
Ms. Pac-Man Maze Madness | DC,Action
MTV Sports: Skateboarding | DC,Action
Napple Tale: Arsia in Daydream | DC,Action
NBA Hoopz | DC,Action
The Next Tetris: On-Line Edition | DC,Action
NFL Blitz 2000 | DC,Action
NFL Blitz 2001 | DC,Action
Nightmare Creatures II | DC,Action
Noiz2sa | DC,Action
Omikron: The Nomad Soul | DC,Action
Ooga Booga | DC,Action
Outtrigger | DC,Action
Panzer Front | DC,Action
Phantasy Star Online | DC,Action
Phantasy Star Online Ver. 2 | DC,Action
Planet Ring | DC,Action
Plasma Sword: Nightmare of Bilstein | DC,Action
POD SpeedZone | DC,Action
pop'n music | DC,Action
pop'n music 2 | DC,Action
pop'n music 3 Append Disc | DC,Action
pop'n music 4 Append Disc | DC,Action
Power Stone | DC,Action
Power Stone 2 | DC,Action
Prince of Persia 3D | DC,Action
Project Justice | DC,Action
Pro Pinball: Trilogy | DC,Action
Psychic Force 2012 | DC,Action
Psyvariar 2 | DC,Action
Puyo Puyo Da! | DC,Action
Q*bert | DC,Action
Quake III: Arena | DC,Action
Radirgy | DC,Action
Rainbow Cotton | DC,Action
Rayman 2: The Great Escape | DC,Action
Razor Freestyle Scooter | DC,Action
Record of Lodoss War | DC,Action
Red Dog: Superior Firepower | DC,Action
Redux: Dark Matters | DC,Action
Rent A Hero No. 1 | DC,Action
Resident Evil 2 | DC,Action
Resident Evil 3: Nemesis | DC,Action
Resident Evil: Code: Veronica | DC,Action
Resident Evil: Code: Veronica X | DC,Action
Re-Volt | DC,Action
Rez | DC,Action
The Ring: Terror's Realm | DC,Action
Samba De Amigo | DC,Action
Samba de Amigo ver. 2000 | DC,Action
San Francisco Rush 2049 | DC,Action
Sega Tetris | DC,Action
Shadow Man | DC,Action
Shenmue | DC,Action
Shenmue II | DC,Action
Shenmue (Limited Edition) | DC,Action
Silent Scope | DC,Action
Slave Zero | DC,Action
Soldier of Fortune | DC,Action
Sonic Adventure | DC,Action
Sonic Adventure 2 | DC,Action
Sonic Adventure 2: 10th Anniversary Birthday Pack | DC,Action
Sonic Adventure: Limited Edition | DC,Action
Sonic Shuffle | DC,Action
Sorcerian: Shichisei Mah? no Shito | DC,Action
SoulCalibur | DC,Action
Soul Fighter | DC,Action
South Park: Chef's Luv Shack | DC,Action
Space Channel 5 | DC,Action
Space Channel 5: Part 2 | DC,Action
Space Griffon VF-9 | DC,Action
Spawn: In the Demon's Hand | DC,Action
Spec Ops II: Omega Squad | DC,Action
Spider-Man | DC,Action
Sqrxz III | DC,Action
Star Wars: Episode I - Jedi Power Battles | DC,Action
Street Fighter Alpha 3 | DC,Action
Street Fighter III: 3rd Strike | DC,Action
Street Fighter III: Double Impact | DC,Action
Sturmwind | DC,Action
Super Magnetic Neo | DC,Action
Super Street Fighter II Turbo | DC,Action
Sword of the Berserk: Guts' Rage | DC,Action
Tech Romancer | DC,Action
Tetris 4D | DC,Action
Tomb Raider: Chronicles | DC,Action
Tomb Raider: The Last Revelation | DC,Action
Tom Clancy's Rainbow Six | DC,Action
Tom Clancy's Rainbow Six: Rogue Spear | DC,Action
