Publisher,GameID,Game,Developer,Console Short Name,Ratings,Release
2K Sports,Major League Baseball 2K11 | PS2,Major League Baseball 2K11,Visual Concepts,PS2,Everyone,2011-03-08 00:00:00
2K Sports,Major League Baseball 2K11 | PS3,Major League Baseball 2K11,Visual Concepts,PS3,Everyone,2011-03-08 00:00:00
2K Sports,Major League Baseball 2K11 | Wii,Major League Baseball 2K11,Visual Concepts,Wii,Everyone,2011-03-08 00:00:00
2K Sports,Major League Baseball 2K11 | X360,Major League Baseball 2K11,Visual Concepts,X360,Everyone,2011-03-08 00:00:00
2K Sports,Major League Baseball 2K13 | PS3,Major League Baseball 2K13,Unknown,PS3,,2013-03-05 00:00:00
2K Sports,Major League Baseball 2K13 | X360,Major League Baseball 2K13,Unknown,X360,,2013-03-05 00:00:00
2K Sports,Major League Baseball 2K5 | PS2,Major League Baseball 2K5,Kush Games,PS2,Everyone,2005-02-28 00:00:00
2K Sports,Major League Baseball 2K5 | XB,Major League Baseball 2K5,Kush Games,XB,Everyone,2005-02-23 00:00:00
2K Sports,Major League Baseball 2K5: World Series Edition | PS2,Major League Baseball 2K5: World Series Edition,Kush Games,PS2,Everyone,2005-10-18 00:00:00
2K Sports,Major League Baseball 2K5: World Series Edition | XB,Major League Baseball 2K5: World Series Edition,Kush Games,XB,,2005-10-18 00:00:00
2K Sports,Major League Baseball 2K6 | GCN,Major League Baseball 2K6,Kush Games,GCN,Everyone,2006-06-12 00:00:00
2K Sports,Major League Baseball 2K6 | PS2,Major League Baseball 2K6,Kush Games,PS2,Everyone,2006-04-03 00:00:00
2K Sports,Major League Baseball 2K6 | X360,Major League Baseball 2K6,Kush Games,X360,Everyone,2006-04-10 00:00:00
2K Sports,Major League Baseball 2K6 | XB,Major League Baseball 2K6,Kush Games,XB,Everyone,2006-04-03 00:00:00
2K Sports,Major League Baseball 2K7 | PS2,Major League Baseball 2K7,Kush Games,PS2,Everyone,2007-02-26 00:00:00
